id,text_id,dialect,domain,distortion_score,dialect_text,standard_text
1,725007,D1,Agriculture,35.5,सरकारान गव्हासाठी दिलेल्या किमान आधारभूत किंमती मुळे गव्हाचा उत्पादन जास्त घेण्यासाठी शेतकऱ्यांची पसंती असता,सरकारने गव्हासाठी दिलेल्या किमान आधारभूत किंमतीमुळे गव्हाचे उत्पादन जास्त घेण्यासाठी शेतकऱ्यांची पसंती असते.
4,712275,D1,Banking,33.31,"क्रेडिट कार्ड वरसून जास्तीत जास्त कितक्या कर्ज गावता , आणि डेबिट कार्ड वरसून जास्तीत जास्त कितके पैसे काढुक शकतू आम्ही ?","क्रेडिट कार्डवरून जास्तीत जास्त किती कर्ज मिळते, आणि डेबिट कार्डवरून जास्तीत जास्त किती पैसे काढू शकतो आम्ही?"
16,724834,D1,Banking,27.0,मार्क टू मार्केट म्हणजे वर्तमान बाजारभावावर आधारित मालमत्तेच्यो वाजवी मू्ल्य किंवा दायित्वासाठी लेखांकन करणा,मार्क टू मार्केट म्हणजे वर्तमान बाजारभावावर आधारित मालमत्तेचे वाजवी मूल्य किंवा दायित्वासाठी लेखांकन करणे
19,707560,D1,Banking,26.5,टॅरिफ कर ह्यो राजकीय सीमांच्या माध्यमांपासून मालाच्या हालचालीसाठी आकारण्यात येणारा शुल्क आसा,टॅरिफ हे राजकीय सीमांच्या माध्यमांपासून मालाच्या हालचालीसाठी आकारण्यात येणारा शुल्क आहे.
22,724988,D1,Banking,26.5,आर्थिक देवाण घेवाण आणि गुंतवणूकीतल्या नुकसानापासना वाचुचा असात तर वित्ताच्या खास गोष्टींची महिती गरजेची असता,आर्थिक देवाणघेवाण आणि गुंतवणुकीतील नफा-तोटा असेल तर वित्ताच्या खास गोष्टींची माहिती गरजेची असते.
25,710428,D1,Agriculture,26.0,लिली परिवार लिलीयासीच्या जडी बुटीच्या फुलांच्या झाडांच्या ऐंशीपेक्षा जास्त प्रजातींचो वंश असा,लिलीचे कुटुंब लिलीच्या प्रकारच्या फुलांच्या झाडांच्या ऐंशीपेक्षा जास्त प्रजातींचे वंश आहे.
28,724985,D1,Agriculture,26.0,कळपाच्या स्वास्थ्यासाठीची भुमिका त्या रोगांच्या प्रतिबंध आणि प्रबंधन अक्षमतांका नियंत्रित किंवा संपवूची हा,कळपाच्या आरोग्यासाठीची भूमिका त्या रोगांच्या प्रतिबंध आणि व्यवस्थापनातील अक्षमतांना नियंत्रित किंवा संपवूची आहे.
34,724876,D1,Banking,25.441,मूळ रकमेत वेळोवेळी जमा झालेला व्याज मिळवून या रकमेवरील व्याजाची मोजणी केली जाता त्येकाच चक्रवाढ व्याज म्हनतत,"मूळ रकमेत वेळोवेळी जमा झालेला व्याज मिळवून या रकमेवरील व्याजाची मोजणी केली जाते, तसेच त्याचेच चक्रवाढ व्याज म्हणतात."
40,724835,D1,Banking,25.4,मार्केट रिस्क म्हणजे मार्केट व्हेरिएबल्समधल्या हालचालींमुळे उद्भवलेल्या पोझिशन्समधल्या नुकसानीचो धोको,मार्केट रिस्क म्हणजे मार्केट व्हेरिएबल्समधील हालचालींमुळे उद्भवलेल्या पोझिशन्समधल्या नुकसानीचा धोका
58,724929,D1,Agriculture,24.5,अंतर्देशीय मत्स्यपालन ह्या मत्स्यशेती आसा झय माणसाच्या गरजेसाठी मासे टाक्या किंवा तलावांमध्ये वाढवले जातत,अंतर्देशीय मत्स्यपालन ह्या मत्स्यशेती माणसाच्या गरजेसाठी मासे टाक्या किंवा तलावांमध्ये वाढवले जाते.
61,724961,D1,Agriculture,24.5,खतातील नायट्रोजन गुंतागुंतीच्या प्रक्रियेतून ऊर्जेच्या निर्मितीसाठी हायड्रोजन ह्या वायूची पूर्तता होता,खतातील नायट्रोजन गुंतागुंतीच्या प्रक्रियेतून ऊर्जेच्या निर्मितीसाठी हायड्रोजन वायूची पूर्तता होते.
64,724925,D1,Banking,24.5,आर्थिक अर्थशास्त्र ह्या अर्थ शास्त्राची शाखा असा ज्या मौद्रिक क्रियाकलापांवर एकाग्रता द्वारा दर्शविला जाता,आर्थिक अर्थशास्त्र हे अर्थशास्त्राची शाखा आहे ज्यामध्ये मौद्रिक क्रियाकलापांवर एकाग्रताद्वारे दर्शविले जाते.
67,707097,D1,Banking,24.214,"स्थिर मालमत्ता , ज्याका दीर्घायुषी मालमत्ता , मूर्त मालमत्ता किंवा मालमत्ता अस सुद्धा म्हणतत","स्थिर मालमत्ता म्हणजे दीर्घायुषी मालमत्ता, मूर्त मालमत्ता किंवा मालमत्ता असेही म्हटले जाते."
70,710308,D1,Agriculture,24.0,पारंपारिक कृषी विकास योजनेच्या माध्यमातना शेतकऱ्यांका सेंद्रीय शेती करुसाठी प्रोत्साहित केला जाता,पारंपारिक कृषी विकास योजनेच्या माध्यमातून शेतकऱ्यांना सेंद्रीय शेती करण्यासाठी प्रोत्साहित केले जाते.
73,706737,D1,Banking,24.0,स्पॉट मार्केटात आर्थिक साधना किंवा वस्तूंची तात्काळ वितरणासाठी खरेदी विक्री केली जाता,स्पॉट मार्केटात आर्थिक साधना किंवा वस्तूंचे तात्काळ वितरणासाठी खरेदी-विक्री केले जाते.
82,709498,D1,Banking,24.0,"पारिवारिक , वैयक्तिक किंवा कोणत्या समुहाचे रोजचे व्यवहार आणि खरेदी विक्री सूक्ष्म अर्थशास्त्रात येता","पारिवारिक, वैयक्तिक किंवा कोणत्या समुहाचे रोजचे व्यवहार आणि खरेदी विक्री सूक्ष्म अर्थशास्त्रात येतात."
85,725004,D1,Banking,24.0,"योजनांच्या माध्यमातून अनुसूचित जाती , जनजाति आणि मागास वर्गाच्या लेकींसाठी शिक्षण उपलब्ध करून दिला जाता","योजनांच्या माध्यमातून अनुसूचित जाती, जनजाति आणि मागास वर्गाच्या मुलांसाठी शिक्षण उपलब्ध करून दिले जाते."
88,724997,D1,Banking,24.0,इंटरनेट बँकिंग सेवेतसून गिराईक संबंधित बँकेच्या कोणत्याही वेळेक झालेल्या ट्रांजेक्शन ची माहिती मिळवू शकता,इंटरनेट बँकिंग सेवेतून संबंधित बँकेच्या कोणत्याही वेळेत झालेल्या ट्रान्झॅक्शनची माहिती तुम्ही मिळवू शकता
91,725002,D1,Agriculture,23.882,"भारतात पुश कृषी पद्धती ही बागायती , जिरायती कृषी वनस्पति शास्त्र शास्त्र आणि खुपशा गोष्टींवर आधारित असता","भारतात कृषी पद्धती बागायती, जिरायती कृषी वनस्पति शास्त्र आणि अनेक गोष्टींवर आधारित आहेत."
94,707513,D1,Agriculture,23.8,जगभर मानवी संस्कृतीचा जो इकास झालेलो आसा तो कोणत्या ना कोणत्या नदीयेच्या काठी झालेलो आसा,जगभरातील मानवी संस्कृतीचे अस्तित्व कोणत्या ना कोणत्या नदीच्या काठी झाले आहे.
97,708174,D1,Banking,23.5,आपला उत्पादन जास्तीत जास्त खपवच्या साठी डिजिटल आणि सोशल मीडिया मार्केटिंग केला जाता,आपले उत्पादन जास्तीत जास्त डिजिटल आणि सोशल मीडिया मार्केटिंगसाठी केले जाते.
100,706800,D1,Banking,23.5,"देणगी ह्या धर्मादाय , मानवतावादी मदत किंवा एखाद्यो कारणासाठी फायद्यासाठी दिलेली भेट असा","देणगी ही धर्मादाय, मानवतावादी मदत किंवा एखाद्या कारणासाठी फायद्यासाठी दिलेली भेट असते."
103,710325,D1,Agriculture,23.5,प्रागैतिहासिक काळापासना माणूस मांसासाठी जानवरांची शिकार आणि हत्या करत इलो हा,प्रागैतिहासिक काळात माणूस मांसासाठी जनावरांची शिकार आणि हत्या करत होता.
106,709181,D1,Agriculture,23.5,"मास्तरानू पश्चिम बंगाल , बिहार आणि तेलंगणा मध्ये भाताची शेती जास्त होता","पश्चिम बंगाल, बिहार आणि तेलंगणांमध्ये भाताची शेती जास्त होती."
109,724922,D1,Banking,23.438,"स्रोत किंवा वित्त स्रोत , व्यवसायाक त्यांचो व्यावसायिक क्रियाकलापासाठी निधी कोठून पैसो मिळता याचा संदर्भ घेता",स्रोत किंवा वित्त स्रोत व्यवसायाच्या व्यावसायिक क्रियाकलापांसाठी निधी कोठून मिळतो याचा संदर्भ घ्यावा.
